name,status,time_s
bmc_with_input_sat,sat,.007147659
counter_deep_sat,unsat,.007343126
counter_deep_unsat,unsat,.006767929
div_mod_sat,sat,.006871353
exhaustive_12,unsat,.006743765
exhaustive_20,unsat,.011890603
exhaustive_24,unsat,.073645816
exhaustive_28,unsat,.989178151
mul_inverse_16,sat,.006343261
multi_prop,sat,.005956590
shift_puzzle_sat,sat,.024997995
three_var_8_unsat,unsat,.113648624
two_var_10_unsat,unsat,.012285675
two_var_12_sat,sat,.011890773
two_var_12_unsat,unsat,.090336092
two_var_16,sat,.007557501
twovars_16_sat,sat,5.123723165
twovars_16_unsat,unsat,25.427716867
wide_mul_32,unsat,15.569809179
